grammar	domain	true_coding_priority	observed_frame_lane	current_artifact_family	latest_overlay_status	next_generalized_machinery_target	evidence_path	selected_file	stop_reason	truncated	comparison_result	root_pair	diff_types	notes
kdl	data_grammar	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-015/measure-kdl-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/kdl/examples/Cargo.kdl	no_stacks_alive	true	diverge			document/data language
brightscript	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-016/measure-brightscript-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/brightscript/advertising/CSASAdSample/components/MainScene.brs	no_stacks_alive	true	diverge			programming language
glsl	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	post-retry report migrates GLSL from runtime frontier to accepted/non-truncated recovery-shape evidence; parity still residual	recovery_shape_and_materialization_after_generalized_retry	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-016/measure-glsl-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/glsl/Test/100.frag	no_stacks_alive	true	diverge			shader programming language
powershell	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-016/measure-powershell-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/powershell/.github/actions/infrastructure/markdownlinks/Parse-MarkdownLink.ps1	no_stacks_alive	true	diverge			shell/programming language
doxygen	prose_docs	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-017/measure-doxygen-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/doxygen/.gts-extracted/doxygen/00001-e10771cb881f.doxygen	no_stacks_alive	true	diverge			documentation comments
swift	true_programming_language	high	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-017/measure-swift-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/swift/CodeGeneration/Package.swift	accepted	false	diverge			programming language
less	markup_template_style	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-018/measure-less-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/less/packages/less/benchmark/benchmark-import-reference-target.less	no_stacks_alive	true	diverge			stylesheet language
caddy	config_build	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-019/measure-caddy-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/caddy/basicauthproxy/Caddyfile	no_stacks_alive	true	diverge			server configuration
earthfile	config_build	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-019/measure-earthfile-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/earthfile/Earthfile	no_stacks_alive	true	diverge			build file
promql	query_policy	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-019/measure-promql-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/promql/x-pack/plugin/esql/qa/testFixtures/src/main/resources/promql/grammar/queries-invalid-parser.promql	no_stacks_alive	false	diverge			query language
cairo	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-020/measure-cairo-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cairo/corelib/src/array.cairo	no_stacks_alive	true	diverge			programming language
ebnf	data_grammar	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-020/measure-ebnf-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/ebnf/docs/sample-grammars/CSS-Selectors-3.ebnf	no_stacks_alive	true	diverge			grammar notation
teal	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-020/measure-teal-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/teal/argparse.d.tl	no_stacks_alive	true	diverge			programming language
eds	data_grammar	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-022/measure-eds-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/eds/example/DS301_profile.eds	no_stacks_alive	true	diverge			data/schema grammar
groovy	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-022/measure-groovy-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/groovy/.agents/skills/groovy-reassess/dashboard.groovy	no_stacks_alive	true	diverge			programming language
pug	markup_template_style	no	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-022/measure-pug-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/pug/packages/pug-filters/test/cases/filters.include.custom.pug	accepted	false	diverge			template language
purescript	true_programming_language	high	accepted_shape_materialization/accepted_diverge	accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-024/measure-purescript-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/purescript/src/Control/Applicative.purs	accepted	false	diverge			programming language
tlaplus	query_policy	no	runtime_frontier_stop/memory_budget	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-024/measure-tlaplus-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/tlaplus/specifications/Bakery-Boulangerie/Bakery.tla	memory_budget	true	diverge			formal specification language
tmux	config_build	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-025/measure-tmux-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/tmux/.tmux.conf	no_stacks_alive	true	diverge			terminal configuration
cobol	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-026/measure-cobol-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cobol/sources/cobol/core/BBANK10P.cbl	no_stacks_alive	true	diverge			programming language
haxe	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-026/measure-haxe-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/haxe/extra/ImportAll.hx	no_stacks_alive	true	diverge			programming language
matlab	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-027/measure-matlab-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/matlab/doc/interpreter/genpropdoc.m	no_stacks_alive	false	diverge			programming language
commonlisp	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-028/measure-commonlisp-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/commonlisp/benchmarks/bbtrees.lisp	no_stacks_alive	true	diverge			programming language
mermaid	markup_template_style	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-028/measure-mermaid-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/mermaid/cypress/platform/dev-diagrams/knsv/knsv2-01-sequence.mmd	no_stacks_alive	true	diverge			diagram markup
cooklang	data_grammar	no	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-029/measure-cooklang-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cooklang/benches/complex_test_recipe.cook	accepted	false	diverge			recipe/document data grammar
meson	config_build	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-029/measure-meson-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/meson/docs/meson.build	no_stacks_alive	true	diverge			build language
regex	data_grammar	no	accepted_shape_materialization/accepted_diverge	accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-029/measure-regex-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/regex/configs/examples/regexExample.regex	accepted	false	diverge			pattern grammar
html	markup_template_style	no	accepted_shape_materialization/accepted_diverge	accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-030/measure-html-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/html/accessibility/aria/aria-div-buttons.html	accepted	false	diverge			markup language
rego	query_policy	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-030/measure-rego-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/rego/build/policy/files/files.rego	no_stacks_alive	true	diverge			policy language
facility	other	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-031/measure-facility-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/facility/example/ExampleApi.fsd	no_stacks_alive	true	diverge			interface/spec grammar; not prioritized as true coding without more evidence
elsa	other	no	unmeasured_zero_files	unmeasured	current_smoke_only	corpus_coverage_or_unmeasured_accounting	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/merged/unmeasured.txt							unmeasured zero-file grammar; domain left conservative
